date,weekday,name,type,year
2014-01-01,Wednesday,New Year's Day,National holiday,2014
2014-01-26,Sunday,Special Working Day,Working day on weekend,2014
2014-01-30,Thursday,Spring Festival Eve,Observance,2014
2014-01-31,Friday,Lunar New Year,National holiday,2014
2014-02-01,Saturday,Spring Festival Golden Week holiday,National holiday,2014
2014-02-02,Sunday,Spring Festival Golden Week holiday,Common local holiday,2014
2014-02-03,Monday,Spring Festival Golden Week holiday,Common local holiday,2014
2014-02-04,Tuesday,Spring Festival Golden Week holiday,Common local holiday,2014
2014-02-05,Wednesday,Spring Festival Golden Week holiday,Common local holiday,2014
2014-02-06,Thursday,Spring Festival Golden Week holiday,Common local holiday,2014
2014-02-08,Saturday,Special Working Day,Working day on weekend,2014
2014-02-14,Friday,Lantern Festival,Observance,2014
2014-03-02,Sunday,Zhonghe Festival,Observance,2014
2014-03-08,Saturday,International Women's Day,Half day holiday,2014
2014-03-12,Wednesday,Arbor Day,Observance,2014
2014-03-21,Friday,March Equinox,Season,2014
2014-04-05,Saturday,Qing Ming Jie,National holiday,2014
2014-04-06,Sunday,Qing Ming Jie holiday,National holiday,2014
2014-04-07,Monday,Qing Ming Jie holiday,National holiday,2014
2014-05-01,Thursday,Labour Day,National holiday,2014
2014-05-02,Friday,Labour Day Holiday,National holiday,2014
2014-05-03,Saturday,Labour Day Holiday,National holiday,2014
2014-05-04,Sunday,Special Working Day,Working day on weekend,2014
2014-05-04,Sunday,Youth Day,Half day holiday,2014
2014-05-31,Saturday,Dragon Boat Festival holiday,National holiday,2014
2014-06-01,Sunday,Children's Day,Observance,2014
2014-06-01,Sunday,Dragon Boat Festival holiday,National holiday,2014
2014-06-02,Monday,Dragon Boat Festival,National holiday,2014
2014-06-21,Saturday,June Solstice,Season,2014
2014-07-01,Tuesday,CPC Founding Day,Observance,2014
2014-07-11,Friday,Maritime Day,Observance,2014
2014-08-01,Friday,Army Day,Observance,2014
2014-08-02,Saturday,Chinese Valentine's Day,Observance,2014
2014-08-10,Sunday,Spirit Festival,Observance,2014
2014-09-03,Wednesday,Victory Day,Observance,2014
2014-09-06,Saturday,Mid-Autumn Festival holiday,National holiday,2014
2014-09-07,Sunday,Mid-Autumn Festival holiday,National holiday,2014
2014-09-08,Monday,Mid-Autumn Festival,National holiday,2014
2014-09-10,Wednesday,Teachers' Day,Observance,2014
2014-09-23,Tuesday,September Equinox,Season,2014
2014-09-28,Sunday,Special Working Day,Working day on weekend,2014
2014-10-01,Wednesday,National Day,National holiday,2014
2014-10-02,Thursday,National Day Golden Week holiday,National holiday,2014
2014-10-02,Thursday,Double Ninth Festival,Observance,2014
2014-10-03,Friday,National Day Golden Week holiday,National holiday,2014
2014-10-04,Saturday,National Day Golden Week holiday,Common local holiday,2014
2014-10-05,Sunday,National Day Golden Week holiday,Common local holiday,2014
2014-10-06,Monday,National Day Golden Week holiday,Common local holiday,2014
2014-10-07,Tuesday,National Day Golden Week holiday,Common local holiday,2014
2014-10-11,Saturday,Special Working Day,Working day on weekend,2014
2014-11-07,Friday,APEC Summit (Beijing),Observance,2014
2014-11-08,Saturday,Journalists' Day,Observance,2014
2014-11-08,Saturday,APEC Summit (Beijing),Observance,2014
2014-11-09,Sunday,APEC Summit (Beijing),Observance,2014
2014-11-10,Monday,APEC Summit (Beijing),Observance,2014
2014-11-11,Tuesday,APEC Summit (Beijing),Observance,2014
2014-11-12,Wednesday,APEC Summit (Beijing),Observance,2014
2014-12-22,Monday,December Solstice,Season,2014
2014-12-25,Thursday,Christmas Day,Observance,2014
2015-01-01,Thursday,New Year's Day,National holiday,2015
2015-01-02,Friday,New Year's Holiday,National holiday,2015
2015-01-03,Saturday,New Year's Holiday,National holiday,2015
2015-01-04,Sunday,Special Working Day,Working day on weekend,2015
2015-02-15,Sunday,Special Working Day,Working day on weekend,2015
2015-02-18,Wednesday,Spring Festival Eve,National holiday,2015
2015-02-19,Thursday,Lunar New Year,National holiday,2015
2015-02-20,Friday,Spring Festival Golden Week holiday,National holiday,2015
2015-02-21,Saturday,Spring Festival Golden Week holiday,National holiday,2015
2015-02-22,Sunday,Spring Festival Golden Week holiday,National holiday,2015
2015-02-23,Monday,Spring Festival Golden Week holiday,National holiday,2015
2015-02-24,Tuesday,Spring Festival Golden Week holiday,National holiday,2015
2015-02-28,Saturday,Special Working Day,Working day on weekend,2015
2015-03-05,Thursday,Lantern Festival,Observance,2015
2015-03-08,Sunday,International Women's Day,Half day holiday,2015
2015-03-12,Thursday,Arbor Day,Observance,2015
2015-03-21,Saturday,Zhonghe Festival,Observance,2015
2015-03-21,Saturday,March Equinox,Season,2015
2015-04-04,Saturday,Qing Ming Jie holiday,National holiday,2015
2015-04-05,Sunday,Qing Ming Jie,National holiday,2015
2015-04-06,Monday,Qing Ming Jie holiday,National holiday,2015
2015-05-01,Friday,Labour Day,National holiday,2015
2015-05-02,Saturday,Labour Day Holiday,National holiday,2015
2015-05-03,Sunday,Labour Day Holiday,National holiday,2015
2015-05-04,Monday,Youth Day,Half day holiday,2015
2015-06-01,Monday,Children's Day,Observance,2015
2015-06-20,Saturday,Dragon Boat Festival,National holiday,2015
2015-06-21,Sunday,Dragon Boat Festival holiday,National holiday,2015
2015-06-22,Monday,Dragon Boat Festival holiday,National holiday,2015
2015-06-22,Monday,June Solstice,Season,2015
2015-07-01,Wednesday,CPC Founding Day,Observance,2015
2015-07-11,Saturday,Maritime Day,Observance,2015
2015-08-01,Saturday,Army Day,Observance,2015
2015-08-20,Thursday,Chinese Valentine's Day,Observance,2015
2015-08-28,Friday,Spirit Festival,Observance,2015
2015-09-03,Thursday,Victory Day,National holiday,2015
2015-09-10,Thursday,Teachers' Day,Observance,2015
2015-09-23,Wednesday,September Equinox,Season,2015
2015-09-27,Sunday,Mid-Autumn Festival,National holiday,2015
2015-10-01,Thursday,National Day,National holiday,2015
2015-10-02,Friday,National Day Golden Week holiday,National holiday,2015
2015-10-03,Saturday,National Day Golden Week holiday,National holiday,2015
2015-10-04,Sunday,National Day Golden Week holiday,National holiday,2015
2015-10-05,Monday,National Day Golden Week holiday,National holiday,2015
2015-10-06,Tuesday,National Day Golden Week holiday,National holiday,2015
2015-10-07,Wednesday,National Day Golden Week holiday,National holiday,2015
2015-10-10,Saturday,Special Working Day,Working day on weekend,2015
2015-10-21,Wednesday,Double Ninth Festival,Observance,2015
